insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (1, 84, 'efectivo', 15.0);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (2, 49, 'efectivo', 15.38);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (3, 96, 'tarjeta', 86.55);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (4, 57, 'efectivo', 72.44);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (5, 69, 'tarjeta', 5.25);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (6, 17, 'efectivo', 86.97);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (7, 98, 'efectivo', 85.29);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (8, 97, 'tarjeta', 47.9);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (9, 47, 'tarjeta', 69.75);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (10, 68, 'efectivo', 3.88);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (11, 81, 'tarjeta', 48.54);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (12, 4, 'tarjeta', 38.19);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (13, 7, 'tarjeta', 51.53);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (14, 54, 'tarjeta', 27.97);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (15, 40, 'efectivo', 49.23);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (16, 64, 'tarjeta', 77.28);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (17, 2, 'tarjeta', 8.2);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (18, 50, 'efectivo', 9.9);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (19, 36, 'efectivo', 60.19);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (20, 77, 'efectivo', 86.06);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (21, 74, 'tarjeta', 71.49);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (22, 49, 'tarjeta', 4.18);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (23, 9, 'efectivo', 66.24);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (24, 10, 'efectivo', 14.14);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (25, 68, 'tarjeta', 86.31);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (26, 49, 'efectivo', 19.62);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (27, 59, 'tarjeta', 1.62);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (28, 65, 'efectivo', 57.26);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (29, 39, 'tarjeta', 24.62);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (30, 47, 'efectivo', 71.15);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (31, 24, 'tarjeta', 68.8);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (32, 92, 'efectivo', 71.57);
