insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (1, 151, 16, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (2, 213, 8, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (3, 291, 11, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (4, 130, 1, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (5, 211, 14, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (6, 224, 13, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (7, 111, 3, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (8, 28, 11, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (9, 28, 3, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (10, 14, 13, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (11, 64, 12, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (12, 37, 2, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (13, 15, 14, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (14, 86, 7, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (15, 151, 9, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (16, 257, 7, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (17, 205, 9, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (18, 141, 3, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (19, 160, 5, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (20, 270, 8, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (21, 80, 1, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (22, 70, 11, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (23, 264, 15, 5);
