insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (1, 9, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (2, 12, 14);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (3, 7, 1);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (4, 7, 9);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (5, 12, 6);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (6, 8, 3);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (7, 3, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (8, 8, 17);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (9, 15, 17);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (10, 1, 6);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (11, 4, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (12, 12, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (13, 1, 11);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (14, 4, 13);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (15, 4, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (16, 11, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (17, 15, 14);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (18, 14, 4);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (19, 14, 17);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (20, 10, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (21, 6, 3);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (22, 14, 5);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (23, 3, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (24, 2, 9);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (25, 1, 16);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (26, 1, 16);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (27, 3, 17);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (28, 4, 13);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (29, 5, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (30, 9, 16);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (31, 6, 1);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (32, 1, 7);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (33, 7, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (34, 4, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (35, 2, 10);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (36, 14, 19);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (37, 12, 6);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (38, 13, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (39, 5, 15);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (40, 15, 2);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (41, 2, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (42, 3, 15);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (43, 11, 1);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (44, 10, 2);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (45, 13, 2);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (46, 1, 20);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (47, 13, 15);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (48, 7, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (49, 6, 3);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (50, 5, 14);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (51, 3, 11);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (52, 1, 10);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (53, 9, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (54, 3, 16);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (55, 3, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (56, 1, 4);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (57, 5, 9);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (58, 7, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (59, 14, 1);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (60, 11, 1);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (61, 11, 2);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (62, 8, 11);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (63, 10, 20);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (64, 1, 18);
